day,current_inventory,demand,reorder_method,inventory_reference_day,inventory_reference,effective_reorder_point,effective_reorder_quantity,placed_order_quantity,received_order_quantity,forecast
0,250,,projected_dynamic,15,172,225.0,78,78,0,
1,247,3,projected_dynamic,16,285.5,112.5,0,0,0,5
2,245,2,projected_dynamic,17,280.0,120.0,0,0,0,2.5
3,242,3,projected_dynamic,18,280.5,112.5,0,0,0,2.6666666666666665
4,240,2,projected_dynamic,19,264.0,144.0,0,0,0,2.5
5,234,6,projected_dynamic,20,265.0,135.0,0,0,0,3.2
6,232,2,projected_dynamic,21,268.29,122.14,0,0,0,3.0
7,231,1,projected_dynamic,22,267.62,118.12,0,0,0,2.7142857142857144
8,229,2,projected_dynamic,23,272.0,105.0,0,0,0,2.625
9,229,0,projected_dynamic,24,250.5,139.5,0,0,0,2.3333333333333335
10,219,10,projected_dynamic,25,221.64,184.09,0,0,0,3.1
11,205,14,projected_dynamic,26,222.25,176.25,0,0,0,4.090909090909091
12,203,2,projected_dynamic,27,224.62,166.15,0,0,0,3.9166666666666665
13,202,1,projected_dynamic,28,226.5,157.5,0,0,0,3.6923076923076925
14,279,1,projected_dynamic,29,224.0,156.0,0,0,78,3.5
15,276,3,projected_dynamic,30,217.0,162.0,0,0,0,3.466666666666667
16,271,5,projected_dynamic,31,213.0,165.0,0,0,0,3.6
17,268,3,projected_dynamic,32,210.0,165.0,0,0,0,3.6666666666666665
18,265,3,projected_dynamic,33,210.0,162.0,0,0,0,3.6666666666666665
19,264,1,projected_dynamic,34,214.0,147.0,0,0,0,3.6
20,263,1,projected_dynamic,35,198.0,168.0,0,0,0,3.2666666666666666
21,254,9,projected_dynamic,36,195.0,171.0,0,0,0,3.7333333333333334
22,252,2,projected_dynamic,37,183.0,186.0,24,24,0,3.8
23,245,7,projected_dynamic,38,205.0,189.0,5,0,0,4.133333333333334
24,244,1,projected_dynamic,39,209.0,168.0,0,0,0,4.2
25,241,3,projected_dynamic,40,217.0,135.0,0,0,0,3.7333333333333334
26,238,3,projected_dynamic,41,217.0,132.0,0,0,0,3.0
27,237,1,projected_dynamic,42,216.0,132.0,0,0,0,2.933333333333333
28,236,1,projected_dynamic,43,211.0,138.0,0,0,0,2.933333333333333
29,233,3,projected_dynamic,44,182.0,177.0,15,0,0,3.066666666666667
30,217,16,projected_dynamic,45,185.0,165.0,0,0,0,3.933333333333333
31,216,1,projected_dynamic,46,188.0,156.0,0,0,0,3.6666666666666665
32,216,0,projected_dynamic,47,189.0,150.0,0,0,0,3.466666666666667
33,215,1,projected_dynamic,48,190.0,147.0,0,0,0,3.3333333333333335
34,215,0,projected_dynamic,49,189.0,147.0,0,0,0,3.2666666666666666
35,214,1,projected_dynamic,50,192.0,129.0,0,0,0,3.2666666666666666
36,211,3,projected_dynamic,51,190.0,129.0,0,0,0,2.8666666666666667
37,209,2,projected_dynamic,52,197.0,108.0,0,0,0,2.8666666666666667
38,209,0,projected_dynamic,53,188.0,120.0,0,0,0,2.4
39,228,5,projected_dynamic,54,177.0,132.0,0,0,24,2.6666666666666665
40,221,7,projected_dynamic,55,174.0,132.0,0,0,0,2.933333333333333
41,218,3,projected_dynamic,56,173.0,132.0,0,0,0,2.933333333333333
42,217,1,projected_dynamic,57,174.0,129.0,0,0,0,2.933333333333333
43,217,0,projected_dynamic,58,173.0,126.0,0,0,0,2.8666666666666667
44,215,2,projected_dynamic,59,183.0,87.0,0,0,0,2.8
45,212,3,projected_dynamic,60,182.0,87.0,0,0,0,1.9333333333333333
46,211,1,projected_dynamic,61,180.0,90.0,0,0,0,1.9333333333333333
47,210,1,projected_dynamic,62,179.0,90.0,0,0,0,2.0
48,209,1,projected_dynamic,63,163.0,114.0,0,0,0,2.0
49,201,8,projected_dynamic,64,162.0,114.0,0,0,0,2.533333333333333
50,200,1,projected_dynamic,65,157.0,117.0,0,0,0,2.533333333333333
51,196,4,projected_dynamic,66,153.0,120.0,0,0,0,2.6
52,193,3,projected_dynamic,67,149.0,126.0,0,0,0,2.6666666666666665
53,191,2,projected_dynamic,68,154.0,111.0,0,0,0,2.8
54,191,0,projected_dynamic,69,157.0,96.0,0,0,0,2.466666666666667
55,189,2,projected_dynamic,70,158.0,90.0,0,0,0,2.1333333333333333
56,188,1,projected_dynamic,71,155.0,93.0,0,0,0,2.0
57,186,2,projected_dynamic,72,151.0,99.0,0,0,0,2.066666666666667
58,184,2,projected_dynamic,73,141.0,111.0,0,0,0,2.2
59,178,6,projected_dynamic,74,142.0,105.0,0,0,0,2.466666666666667
60,177,1,projected_dynamic,75,141.0,105.0,0,0,0,2.3333333333333335
61,176,1,projected_dynamic,76,138.0,108.0,0,0,0,2.3333333333333335
62,174,2,projected_dynamic,77,123.0,129.0,21,21,0,2.4
