day,current_inventory,demand,reorder_method,inventory_reference_day,inventory_reference,effective_reorder_point,effective_reorder_quantity,placed_order_quantity,received_order_quantity,forecast
0,250,,projected_dynamic,15,173,225.0,77,77,0,
1,248,2,projected_dynamic,16,259.0,180.0,0,0,0,5
2,242,6,projected_dynamic,17,255.0,180.0,0,0,0,4.0
3,238,4,projected_dynamic,18,251.0,180.0,0,0,0,4.0
4,234,4,projected_dynamic,19,259.0,153.0,0,0,0,4.0
5,310,1,projected_dynamic,20,257.0,150.0,0,0,77,3.4
6,307,3,projected_dynamic,21,261.0,135.0,0,0,0,3.3333333333333335
7,306,1,projected_dynamic,22,263.75,123.75,0,0,0,3.0
8,305,1,projected_dynamic,23,265.67,115.0,0,0,0,2.75
9,304,1,projected_dynamic,24,217.0,198.0,3,0,0,2.5555555555555554
10,283,21,projected_dynamic,25,218.27,188.18,0,0,0,4.4
11,281,2,projected_dynamic,26,221.25,176.25,0,0,0,4.181818181818182
12,280,1,projected_dynamic,27,225.77,162.69,0,0,0,3.9166666666666665
13,280,0,projected_dynamic,28,223.43,160.71,0,0,0,3.6153846153846154
14,277,3,projected_dynamic,29,225.0,153.0,0,0,0,3.5714285714285716
15,276,1,projected_dynamic,30,221.0,156.0,0,0,0,3.4
16,273,3,projected_dynamic,31,225.0,141.0,0,0,0,3.466666666666667
17,272,1,projected_dynamic,32,225.0,135.0,0,0,0,3.1333333333333333
18,270,2,projected_dynamic,33,221.0,135.0,0,0,0,3.0
19,266,4,projected_dynamic,34,222.0,132.0,0,0,0,3.0
20,266,0,projected_dynamic,35,225.0,123.0,0,0,0,2.933333333333333
21,266,0,projected_dynamic,36,218.0,132.0,0,0,0,2.7333333333333334
22,262,4,projected_dynamic,37,205.0,150.0,0,0,0,2.933333333333333
23,255,7,projected_dynamic,38,196.0,162.0,0,0,0,3.3333333333333335
24,250,5,projected_dynamic,39,217.0,99.0,0,0,0,3.6
25,250,0,projected_dynamic,40,217.0,96.0,0,0,0,2.2
26,249,1,projected_dynamic,41,218.0,93.0,0,0,0,2.1333333333333333
27,249,0,projected_dynamic,42,210.0,105.0,0,0,0,2.066666666666667
28,245,4,projected_dynamic,43,211.0,99.0,0,0,0,2.3333333333333335
29,244,1,projected_dynamic,44,208.0,102.0,0,0,0,2.2
