day,current_inventory,demand,reorder_method,inventory_reference_day,inventory_reference,effective_reorder_point,effective_reorder_quantity,placed_order_quantity,received_order_quantity,forecast
0,250,,projected_dynamic,15,167,225.0,83,83,0,
1,242,8,projected_dynamic,16,231.0,270.0,69,69,0,5
2,238,4,projected_dynamic,17,294.0,270.0,6,0,0,6.0
3,232,6,projected_dynamic,18,292.75,258.75,0,0,0,6.0
4,227,5,projected_dynamic,19,302.0,225.0,0,0,0,5.75
5,225,2,projected_dynamic,20,304.0,210.0,0,0,0,5.0
6,222,3,projected_dynamic,21,310.86,186.43,0,0,0,4.666666666666667
7,304,1,projected_dynamic,22,301.38,196.88,0,0,83,4.142857142857143
8,298,6,projected_dynamic,23,308.67,175.0,0,0,0,4.375
9,298,0,projected_dynamic,24,312.0,162.0,0,0,0,3.888888888888889
10,366,1,projected_dynamic,25,305.09,167.73,0,0,69,3.6
11,361,5,projected_dynamic,26,298.5,172.5,0,0,0,3.727272727272727
12,356,5,projected_dynamic,27,294.31,173.08,0,0,0,3.8333333333333335
13,352,4,projected_dynamic,28,294.29,167.14,0,0,0,3.8461538461538463
14,350,2,projected_dynamic,29,294.0,162.0,0,0,0,3.7142857142857144
15,348,2,projected_dynamic,30,300.0,141.0,0,0,0,3.6
16,347,1,projected_dynamic,31,302.0,132.0,0,0,0,3.1333333333333333
17,346,1,projected_dynamic,32,302.0,123.0,0,0,0,2.933333333333333
18,343,3,projected_dynamic,33,305.0,111.0,0,0,0,2.7333333333333334
19,342,1,projected_dynamic,34,299.0,117.0,0,0,0,2.466666666666667
20,338,4,projected_dynamic,35,302.0,108.0,0,0,0,2.6
21,338,0,projected_dynamic,36,263.0,165.0,0,0,0,2.4
22,318,20,projected_dynamic,37,269.0,147.0,0,0,0,3.6666666666666665
23,318,0,projected_dynamic,38,265.0,153.0,0,0,0,3.2666666666666666
24,316,2,projected_dynamic,39,260.0,159.0,0,0,0,3.4
25,313,3,projected_dynamic,40,265.0,144.0,0,0,0,3.533333333333333
26,313,0,projected_dynamic,41,264.0,138.0,0,0,0,3.2
27,310,3,projected_dynamic,42,224.0,192.0,0,0,0,3.066666666666667
28,288,22,projected_dynamic,43,216.0,201.0,8,0,0,4.266666666666667
29,283,5,projected_dynamic,44,216.0,198.0,4,0,0,4.466666666666667
30,282,1,projected_dynamic,45,217.0,195.0,0,0,0,4.4
31,282,0,projected_dynamic,46,216.0,195.0,1,0,0,4.333333333333333
32,281,1,projected_dynamic,47,217.0,189.0,0,0,0,4.333333333333333
33,280,1,projected_dynamic,48,208.0,201.0,16,0,0,4.2
34,275,5,projected_dynamic,49,198.0,210.0,36,36,0,4.466666666666667
35,268,7,projected_dynamic,50,224.0,225.0,26,26,0,4.666666666666667
36,263,5,projected_dynamic,51,264.0,174.0,0,0,0,5.0
37,260,3,projected_dynamic,52,262.0,177.0,0,0,0,3.8666666666666667
38,259,1,projected_dynamic,53,256.0,183.0,0,0,0,3.933333333333333
